id,start_date,start_time,end_date,end_time,Progress,duration,UserLanguage,Allocate_IG_M_1,Allocate_IG_M_2,Allocate_OG_M_1,Allocate_OG_M_2,Allocate_TG_M_1,Allocate_TG_M_2,Allocate_IG_P_1,Allocate_IG_P_2,Allocate_OG_P_1,Allocate_OG_P_2,Allocate_TG_P_1,Allocate_TG_P_2,Allocate_IG_Nat_1,Allocate_IG_Nat_2,Allocate_OG_Nat_1,Allocate_OG_Nat_2,Allocate_TG_Nat_1,Allocate_TG_Nat_2,Q_Language,nationality,currency,conversionrate,dvorder,mingroup,ingroupletter,outgroupletter,role,type_group,playedwith,gamepayoff,totalpayoff,totalmoney
p121,4/4/22,3:27:09,4/4/22,3:43:03,100,954,EN-GB,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,15,5,15,5,10,10,EN-GB,British,£,0.067,attfirst,secondletter,J,H,recipient,nat_in_out,another national group,10,10,0.67
p122,4/4/22,3:23:17,4/4/22,3:43:21,100,1203,EN-GB,15,5,15,5,15,5,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,EN-GB,British,£,0.067,allofirst,firstletter,L,N,allocator,nat_in,your national group,15,15,1.005
p123,4/4/22,3:35:23,4/4/22,3:43:54,100,510,EN-GB,14,6,14,6,12,8,NA,NA,NA,NA,NA,NA,14,6,14,6,10,10,EN-GB,British,£,0.067,attfirst,firstletter,P,S,recipient,nat_out_self,another national group,10,10,0.67
p124,4/4/22,3:27:49,4/4/22,3:44:07,100,977,EN-GB,10,10,15,5,15,5,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,K,M,allocator,min_in,Group K,10,10,0.67
p125,4/4/22,3:31:19,4/4/22,3:44:19,100,780,EN-GB,20,0,20,0,10,10,NA,NA,NA,NA,NA,NA,10,10,15,5,15,5,EN-GB,British,£,0.067,attfirst,firstletter,H,J,allocator,nat_in,your national group,10,10,0.67
p126,4/4/22,3:31:51,4/4/22,3:44:31,100,760,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,20,0,20,0,10,10,EN-GB,British,£,0.067,allofirst,secondletter,N,L,allocator,min_out,Group L,20,20,1.34
p127,4/4/22,3:27:22,4/4/22,3:44:39,100,1037,EN-GB,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,15,5,15,5,10,10,EN-GB,British,£,0.067,allofirst,secondletter,M,K,recipient,nat_in_out,another national group,10,10,0.67
p128,4/4/22,3:32:51,4/4/22,3:44:46,100,714,EN-GB,NA,NA,NA,NA,NA,NA,15,5,18,2,15,5,19,1,19,1,10,10,EN-GB,British,£,0.067,attfirst,secondletter,N,L,allocator,nat_out,another national group,19,19,1.273
p129,4/4/22,3:35:21,4/4/22,3:44:47,100,565,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,K,M,recipient,nat_out_self,another national group,10,10,0.67
p130,4/4/22,3:36:58,4/4/22,3:45:15,100,497,EN-GB,15,5,15,5,15,5,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,EN-GB,British,£,0.067,attfirst,firstletter,K,M,recipient,nat_out_self,another national group,10,10,0.67
p131,4/4/22,3:29:56,4/4/22,3:45:15,100,918,EN-GB,15,5,15,5,10,10,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,EN-GB,British,£,0.067,attfirst,firstletter,K,M,recipient,nat_out_self,another national group,10,10,0.67
p132,4/4/22,3:28:21,4/4/22,3:45:22,100,1020,EN-GB,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,20,0,20,0,10,10,EN-GB,British,£,0.067,attfirst,secondletter,S,P,recipient,nat_in_out,another national group,10,10,0.67
p133,4/4/22,3:38:15,4/4/22,3:45:42,100,446,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,20,0,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,secondletter,M,K,allocator,min_in,Group M,20,20,1.34
p134,4/4/22,3:35:50,4/4/22,3:45:53,100,602,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,firstletter,H,J,recipient,nat_in_out,another national group,10,10,0.67
p135,4/4/22,3:37:11,4/4/22,3:45:56,100,524,EN-GB,NA,NA,NA,NA,NA,NA,10,10,15,5,15,5,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,secondletter,J,H,allocator,nat_out,another national group,10,10,0.67
p136,4/4/22,3:26:26,4/4/22,3:46:06,100,1179,EN-GB,NA,NA,NA,NA,NA,NA,19,1,20,0,19,1,20,0,20,0,10,10,EN-GB,British,£,0.067,attfirst,secondletter,M,K,allocator,nat_in,your national group,20,20,1.34
p137,4/4/22,3:33:33,4/4/22,3:46:12,100,759,EN-GB,NA,NA,NA,NA,NA,NA,12,8,15,5,10,10,12,8,15,5,10,10,EN-GB,British,£,0.067,allofirst,secondletter,J,H,allocator,nat_in,your national group,12,12,0.804
p138,4/4/22,3:31:32,4/4/22,3:46:28,100,896,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,L,N,recipient,nat_out_self,another national group,10,10,0.67
p139,4/4/22,3:39:06,4/4/22,3:46:41,100,455,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,P,S,recipient,nat_in_out,another national group,10,10,0.67
p140,4/4/22,3:35:31,4/4/22,3:46:48,100,676,EN-GB,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,secondletter,J,H,allocator,min_in,Group J,10,10,0.67
p141,4/4/22,3:26:01,4/4/22,3:47:12,100,1271,EN-GB,NA,NA,NA,NA,NA,NA,12,8,12,8,10,10,12,8,12,8,10,10,EN-GB,British,£,0.067,attfirst,secondletter,N,L,allocator,nat_out,another national group,12,12,0.804
p142,4/4/22,3:32:13,4/4/22,3:47:13,100,900,EN-GB,12,8,12,8,10,10,NA,NA,NA,NA,NA,NA,12,8,12,8,12,8,EN-GB,British,£,0.067,attfirst,firstletter,L,N,recipient,nat_out_self,another national group,10,10,0.67
p143,4/4/22,3:34:51,4/4/22,3:47:37,100,765,EN-GB,NA,NA,NA,NA,NA,NA,10,10,15,5,15,5,10,10,15,5,10,10,EN-GB,British,£,0.067,attfirst,secondletter,M,K,allocator,nat_out,another national group,15,15,1.005
